name,WKT,
Bairat / Viratnagar,"POLYGON ((76.07789217553994 27.34149960990991, 76.28089802446004 27.34149960990991, 76.28089802446004 27.52167979009009, 76.07789217553994 27.52167979009009, 76.07789217553994 27.34149960990991))","""Bairat / Viratnagar"":""POLYGON ((76.07789217553994 27.34149960990991, 76.28089802446004 27.34149960990991, 76.28089802446004 27.52167979009009, 76.07789217553994 27.52167979009009, 76.07789217553994 27.34149960990991))"","
Bhabru (RS),"POLYGON ((75.9382188564097 27.37281540990991, 76.1412823435903 27.37281540990991, 76.1412823435903 27.55299559009009, 75.9382188564097 27.55299559009009, 75.9382188564097 27.37281540990991))","""Bhabru (RS)"":""POLYGON ((75.9382188564097 27.37281540990991, 76.1412823435903 27.37281540990991, 76.1412823435903 27.55299559009009, 75.9382188564097 27.55299559009009, 75.9382188564097 27.37281540990991))"","
"Maski (Raichur, KN)","POLYGON ((76.56075899288099 15.86813990990991, 76.748161207119 15.86813990990991, 76.748161207119 16.04832009009009, 76.56075899288099 16.04832009009009, 76.56075899288099 15.86813990990991))","""Maski (Raichur, KN)"":""POLYGON ((76.56075899288099 15.86813990990991, 76.748161207119 15.86813990990991, 76.748161207119 16.04832009009009, 76.56075899288099 16.04832009009009, 76.56075899288099 15.86813990990991))"","
"Udegolam (Bellary, KN)","POLYGON ((76.7223661809098 15.44374470990991, 76.90937741909019 15.44374470990991, 76.90937741909019 15.62392489009009, 76.7223661809098 15.62392489009009, 76.7223661809098 15.44374470990991))","""Udegolam (Bellary, KN)"":""POLYGON ((76.7223661809098 15.44374470990991, 76.90937741909019 15.44374470990991, 76.90937741909019 15.62392489009009, 76.7223661809098 15.62392489009009, 76.7223661809098 15.44374470990991))"","
"Gavimath (Koppal, KN)","POLYGON ((76.06722558134838 15.25015870990991, 76.25406241865163 15.25015870990991, 76.25406241865163 15.43033889009009, 76.06722558134838 15.43033889009009, 76.06722558134838 15.25015870990991))","""Gavimath (Koppal, KN)"":""POLYGON ((76.06722558134838 15.25015870990991, 76.25406241865163 15.25015870990991, 76.25406241865163 15.43033889009009, 76.06722558134838 15.43033889009009, 76.06722558134838 15.25015870990991))"","
"Palkigundu (Koppal, KN)","POLYGON ((76.04392322424039 15.25386310990991, 76.23076337575961 15.25386310990991, 76.23076337575961 15.43404329009009, 76.04392322424039 15.43404329009009, 76.04392322424039 15.25386310990991))","""Palkigundu (Koppal, KN)"":""POLYGON ((76.04392322424039 15.25386310990991, 76.23076337575961 15.25386310990991, 76.23076337575961 15.43404329009009, 76.04392322424039 15.43404329009009, 76.04392322424039 15.25386310990991))"","
"Jatinga Rameshwara (Chitradurga, KN)","POLYGON ((76.64239208597142 14.82225040990991, 76.82885211402858 14.82225040990991, 76.82885211402858 15.002430590090091, 76.64239208597142 15.002430590090091, 76.64239208597142 14.82225040990991))","""Jatinga Rameshwara (Chitradurga, KN)"":""POLYGON ((76.64239208597142 14.82225040990991, 76.82885211402858 14.82225040990991, 76.82885211402858 15.002430590090091, 76.64239208597142 15.002430590090091, 76.64239208597142 14.82225040990991))"","
"Brahmagiri (Chitradurga, KN)","POLYGON ((76.71315980917507 14.72375690990991, 76.89953479082493 14.72375690990991, 76.89953479082493 14.903937090090091, 76.71315980917507 14.903937090090091, 76.71315980917507 14.72375690990991))","""Brahmagiri (Chitradurga, KN)"":""POLYGON ((76.71315980917507 14.72375690990991, 76.89953479082493 14.72375690990991, 76.89953479082493 14.903937090090091, 76.71315980917507 14.903937090090091, 76.71315980917507 14.72375690990991))"","
"Siddapur (Chitradurga, KN)","POLYGON ((76.67898147568417 14.67958990990991, 76.86531852431582 14.67958990990991, 76.86531852431582 14.85977009009009, 76.67898147568417 14.85977009009009, 76.67898147568417 14.67958990990991))","""Siddapur (Chitradurga, KN)"":""POLYGON ((76.67898147568417 14.67958990990991, 76.86531852431582 14.67958990990991, 76.86531852431582 14.85977009009009, 76.67898147568417 14.85977009009009, 76.67898147568417 14.67958990990991))"","
"Nittur (Bellary, KN)","POLYGON ((76.70487057064491 15.32176290990991, 76.89177162935508 15.32176290990991, 76.89177162935508 15.50194309009009, 76.70487057064491 15.50194309009009, 76.70487057064491 15.32176290990991))","""Nittur (Bellary, KN)"":""POLYGON ((76.70487057064491 15.32176290990991, 76.89177162935508 15.32176290990991, 76.89177162935508 15.50194309009009, 76.70487057064491 15.50194309009009, 76.70487057064491 15.32176290990991))"","
"Rajula Mandagiri (Kurnool, AP)","POLYGON ((77.38058934839206 15.34669960990991, 77.56751285160793 15.34669960990991, 77.56751285160793 15.52687979009009, 77.38058934839206 15.52687979009009, 77.38058934839206 15.34669960990991))","""Rajula Mandagiri (Kurnool, AP)"":""POLYGON ((77.38058934839206 15.34669960990991, 77.56751285160793 15.34669960990991, 77.56751285160793 15.52687979009009, 77.38058934839206 15.52687979009009, 77.38058934839206 15.34669960990991))"","
Topra (HR),POINT (77.1623852 30.1252841),"""Topra (HR)"":""POINT (77.1623852 30.1252841)"","
Meerut,POINT (77.7064137 28.9844618),"""Meerut"":""POINT (77.7064137 28.9844618)"","
Gujarra (MP),POINT (78.5490494 25.5722943),"""Gujarra (MP)"":""POINT (78.5490494 25.5722943)"","
Kaushambi,POINT (81.4031707 25.361054),"""Kaushambi"":""POINT (81.4031707 25.361054)"","
